network,state,site_name,description,start,end,latitude,longitude,elev,county,site_id,Year,Month,Day,yearday,date,snow_water_equivalent,precipitation_cumulative,temperature_max,temperature_min,temperature_mean,precipitation,study_year,daymet_maxtemp,daymet_mintemp,daymet_precip,daymet_meantemp,swe_plus,prevday_swe,prevday_maxtemp,prevday_mintemp,prevday_meantemp,prevday_precip,prevday_cumulative_precip
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,2,2,2010-01-02,91.4,86.4,-19.1,-22.2,-20.7,0,30,0.02,-3.49,0,-1.735,92.4,91.4,1.23,-13.94,-6.3549999999999995,3.69,86.4
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,2,2,2010-01-02,43.2,119.4,-11.8,-26,-18.8,0,30,6.14,0.16,0,3.15,44.2,43.2,2.34,-4.98,-1.3200000000000005,0,119.4
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,2,2,2010-01-02,213.4,299.7,-8.6,-13.4,-10.6,0,30,-1.41,-6.49,0,-3.95,214.4,213.4,0.29,-3.49,-1.6,12.35,299.7
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,3,3,2010-01-03,91.4,86.4,-12,-19.8,-16.5,0,30,-0.21,-6.35,0,-3.28,92.4,91.4,0.02,-3.49,-1.735,0,86.4
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,3,3,2010-01-03,43.2,119.4,-5.8,-12.7,-9.1,0,30,2.67,-1.61,7.94,0.5299999999999999,44.2,43.2,6.14,0.16,3.15,0,119.4
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,3,3,2010-01-03,221,299.7,0.6,-9.2,-3.2,0,30,0.74,-3.09,3.12,-1.1749999999999998,222,213.4,-1.41,-6.49,-3.95,0,299.7
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,4,4,2010-01-04,91.4,86.4,-6.6,-13,-9.1,0,30,-0.38,-7.04,0,-3.71,92.4,91.4,-0.21,-6.35,-3.28,0,86.4
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,4,4,2010-01-04,43.2,119.4,-2.2,-5.8,-3.4,0,30,-0.93,-7.17,0,-4.05,44.2,43.2,2.67,-1.61,0.5299999999999999,7.94,119.4
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,4,4,2010-01-04,223.5,299.7,1.2,-1,0.4,0,30,1.28,-1.19,3.55,0.04500000000000004,224.5,221,0.74,-3.09,-1.1749999999999998,3.12,299.7
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,5,5,2010-01-05,94,86.4,-3.3,-7.6,-5.3,2.5,30,-3.23,-14.79,0,-9.01,95,91.4,-0.38,-7.04,-3.71,0,86.4
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,5,5,2010-01-05,43.2,119.4,-1,-4.5,-2.8,0,30,-5.4,-11.62,0,-8.51,44.2,43.2,-0.93,-7.17,-4.05,0,119.4
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,5,5,2010-01-05,223.5,299.7,1.3,-2.7,-0.6,2.5,30,3.37,-1.1,6.39,1.135,224.5,223.5,1.28,-1.19,0.04500000000000004,3.55,299.7
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,6,6,2010-01-06,96.5,88.9,-3.6,-5.7,-4.7,0,30,-8.55,-16.91,0,-12.73,97.5,94,-3.23,-14.79,-9.01,0,86.4
